Bangalore,Oia' new year carnival,31st december,feel the greece vibes while in bangalore
Bangalore,Whose Mic is it anyway?,24th December,"Open mic nights, its yours!"
Bangalore,Samay Raina Unfiltered,26th January,India Tour
Bangalore,Las Vegas 2024,31st December,New Year Party
Bangalore,Candlelight India,29th December,A tribute to Coldplay
Delhi,Candlelight India,29th December,A tribute to A.R Rahman
Delhi,So rude of me,27th January,By Swati Sachdeva
Delhi,India Art Fair,1st February,Arts and Crafts
Delhi,India Design ID,15th February,India's most defenitive design week
Chennai,Nearly Nice,23rd December,By saikiran
Chennai,Madras Marathon,21st January,top 3 prizes
Chennai,Speaking stories,23rd December,Undending stories
Chennai,Mission NYE,31st December,Chennai's Biggest Regional Rooftop eve
Kolkata,Euphoria,29th December,India Tour
Kolkata,Who are you?,13th January,By Rahul Subramanian
Kolkata,Party On Boat,31st december,New Year 2024
Kolkata,Midnight Express,31st december,New Year 2024
Kochi,Abhishek Upmanyu,31st January,Live show
Kochi,The Double Decade,7th January,Concert
